Well ,mTVDSS,WELL,mTVDSS,ANGLE_FAIL.DEG                  :  Fail Angle,BRIT_IND.                     :  Brittleness Index,CS   .M/MIN                 :  Compressive Strength,DTCO .US/F                 :  Compressional slowness,DTSM .US/F                 :  Fast Shear Slowness,IP   .RAYL/M2                 :  P Impedence,IS   .RAYL/M2                 :  S Impedance,KBULK.                     :  Bulk Mudulus,LAMRHO.                     :  ,MU   .CP                   :  Mu,PR   .                     :  Poisson's ratio,PRESS_OB.PSI                  :  Over-burden Pressure,PRESS_SHMAX.PSI                  :  Horizontal Stress (Max),PRESS_SHMIN.PSI                  :  Horizontal Stress (Min),PR_STAT.                     :  Poisson's ratio (Static),PZS  .PSI                  :  Processed Zone Stress,STRESS_CUM.PSI                  :  Cumulative stress (SHPZ),UCS_BF.PSI                  :  Uniaxial Compressive Strength (BF),VP   .FT/S                 :  Compressional velocity,VPVS .                     :  Vp / Vs ratio,VS   .FT/S                 :  Shear velocity,YM   .                     :  Youngs' Modulus,YM_STAT.                     :  Youngs' Modulus (Static),PRESS_PP.PSI                  :  Pore Pressure,Well Block Pressure (psi),Depletion_Type
105,,Raag-105,2795.13539,41.473,72.563,1281.981,61.927,105.249,11979.925,7048.858,18.137,44.146,20.413,0.235,9645.674,9815.071,6257.722,0.212,1640.986,8997.416,3240.794,16147.993,1.7,9501.305,7.314,4.883,5107.361,5033.65918,
105,,Raag-105,2800.650663,42.762,77.234,1341.285,58.283,100.553,12970.554,7518.021,22.254,55.194,22.789,0.247,9666.573,9832.516,6347.71,0.222,2296.688,10488.797,3744.189,17157.75,1.725,9945.014,8.243,5.728,5110.932,5036.105469,
105,,Raag-105,2807.395851,41.913,70.998,1301.96,60.666,104.956,12198.621,7050.998,20.335,49.373,20.477,0.249,9692.125,9858.144,6371.773,0.224,2309.869,10563.284,3296.255,16483.615,1.73,9527.793,7.42,4.976,5115.263,5039.099609,
105,,Raag-105,2814.08627,42.63,72.064,1335.093,58.65,102.499,12484.204,7143.443,22.395,53.798,21.242,0.257,9717.69,9881.796,6435.554,0.231,2711.485,11494.078,3469.307,17050.414,1.748,9756.221,7.743,5.267,5119.555,5042.071289,
105,,Raag-105,2820.730553,40.113,59.425,1221.895,65.936,119.887,12668.45,6967.448,23.134,63.399,17.714,0.283,9743.266,9898.326,6642.05,0.255,2567.777,11619.654,2870.961,15166.269,1.818,8341.209,6.593,4.263,5123.81,5045.024414,
105,,Raag-105,2827.33495,40.225,62.202,1226.751,65.599,116.571,12256.762,6897.378,20.88,55.081,18.035,0.268,9768.272,9929.647,6540.752,0.241,2627.438,11536.38,2891.73,15244.065,1.777,8578.456,6.635,4.297,5127.931,5047.961426,
105,,Raag-105,2833.906009,37.231,39.789,1102.14,75.005,143.753,10773.809,5621.409,19.943,52.874,11.919,0.313,9793.288,9937.9,6901.043,0.282,2739.413,12480.913,1916.809,13332.355,1.917,6956.372,4.54,2.662,5132.016,5050.885742,
105,,Raag-105,2840.449387,39.028,57.828,1175.655,69.257,123.658,11974.522,6706.618,19.638,53.432,16.531,0.271,9818.315,9979.955,6585.533,0.244,1947.053,10265.172,2626.834,14438.89,1.786,8086.847,6.097,3.853,5136.065,5053.800293,
105,,Raag-105,2846.971333,36.395,40.959,1069.133,77.789,141.958,9256.819,5072.488,14.489,34.228,10.891,0.285,9843.353,10000.429,6701.85,0.257,2144.074,10891.847,1715.719,12855.304,1.825,7044.361,4.061,2.324,5140.078,5056.706543,
105,,Raag-105,2853.476908,41.665,71.346,1290.67,61.375,107.492,12995.516,7420.023,22.459,58.77,21.04,0.258,9867.819,10035.774,6508.727,0.232,2259.908,10737.27,3434.588,16293.385,1.751,9303,7.679,5.208,5143.962,5059.60791,
105,,Raag-105,2859.970279,42.856,72.836,1345.696,58.023,104.001,13665.549,7624.176,27.097,70.491,22.345,0.274,9892.881,10055.544,6639.607,0.247,2360.213,11199.641,3752.15,17234.486,1.792,9615.329,8.258,5.741,5147.904,5062.504883,
105,,Raag-105,2866.455911,40.688,52.922,1246.989,64.221,123.667,13175.489,6842.093,28.805,79.965,16.864,0.315,9917.951,10064.633,6984.314,0.284,2432.777,12034.181,2791.81,15571.229,1.926,8086.212,6.434,4.13,5151.809,5065.400879,
105,,Raag-105,2872.937376,37.629,46.215,1118.094,73.707,135.53,10714.45,5826.958,18.099,46.893,13.105,0.29,9942.45,10100.394,6783.574,0.261,2700.933,12169.013,2075.277,13567.325,1.839,7378.468,4.904,2.927,5155.589,5068.296875,
105,,Raag-105,2877.029554,39.811,43.574,1208.87,66.85,131.624,11887.236,6037.325,26.238,68.408,13.98,0.326,9958.205,10101.254,7097.232,0.294,1698.35,10791.163,2288.656,14958.908,1.969,7597.375,5.378,3.285,5158.001,5070.125977,
105,,Raag-105,2878.733041,40.168,44.588,1224.268,65.771,128.507,11670.257,5972.93,25.749,64.843,14.167,0.323,9964.624,10109.44,7068.303,0.29,2395.771,12128.148,2314.67,15204.245,1.954,7781.653,5.435,3.329,5158.979,5070.888184,
105,,Raag-105,2880.43742,40.395,51.895,1234.163,65.09,121.657,11715.438,6268.081,23.452,58.674,15.704,0.299,9971.629,10126.444,6875.326,0.27,2483.173,11916.997,2541.665,15363.344,1.869,8219.81,5.92,3.71,5160.044,5071.650391,
105,,Raag-105,2882.142395,39.591,50.703,1199.477,67.519,125.609,11598.004,6234.354,22.1,56.779,15.128,0.297,9978.05,10134.147,6856.099,0.267,2616.607,12145.412,2433.517,14810.579,1.86,7961.232,5.691,3.529,5161.018,5072.413086,
105,,Raag-105,2883.847668,41.539,60.099,1284.93,61.739,114.126,12769.294,6907.822,26.143,67.619,18.449,0.293,9984.473,10142.19,6830.14,0.264,2814.823,12489.926,3036.392,16197.244,1.849,8762.245,6.92,4.54,5161.988,5073.175293,
105,,Raag-105,2885.552941,42.094,60.631,1310.223,60.155,113.112,13332.758,7090.583,29.343,77.21,19.107,0.303,9990.896,10144.755,6913.7,0.273,2466.626,11960.652,3191.732,16623.777,1.88,8840.803,7.221,4.801,5162.957,5073.939453,
105,,Raag-105,2891.997496,44.164,81.516,1408.67,54.482,99.483,15575.392,8529.875,34.868,97.075,26.134,0.286,10015.426,10176.805,6787.843,0.257,2770.965,12317.616,4622.917,18354.685,1.826,10051.958,9.747,7.202,5166.635,5076.824219,
105,,Raag-105,2903.179846,41.411,73.684,1279.155,62.108,107.158,12990.674,7529.37,20.919,55.375,21.417,0.247,10058.671,10236.459,6502.913,0.222,1740.855,9687.535,3471.582,16100.882,1.725,9332.041,7.747,5.27,5173.03,5146.018555,
105,,Raag-105,2914.362494,43.935,76.507,1397.426,55.093,101.374,14966.999,8133.91,33.893,91.69,24.456,0.29,10101.362,10263.272,6863.163,0.261,2655.218,12236.763,4267.014,18151.291,1.84,9864.433,9.155,6.605,5179.234,5150.053223,
105,,Raag-105,2925.547225,40.864,62.681,1254.76,63.702,114.305,12470.617,6949.88,22.605,58.915,18.532,0.275,10144.673,10314.363,6750.87,0.247,1383.748,9469.236,3001.877,15698.095,1.794,8748.555,6.853,4.482,5185.417,5149.188477,
105,,Raag-105,2936.734635,42.377,53.622,1323.331,59.355,116.772,13279.717,6750.039,32.956,85.225,17.619,0.326,10187.429,10336.315,7209.714,0.293,1680.823,10981.074,2962.89,16847.752,1.967,8563.66,6.776,4.417,5191.411,5147.94043,
